,Paragraph
219,"Man muß zwar sagen: was einem Begriff allgemein zukommt, oder
widerspricht, das kommt auch zu, oder widerspricht, allem Besonderen,
was unter jenem Begriff enthalten ist; (dictum de Omni et Nullo;) es
wäre aber ungereimt, diesen logischen Grundsatz dahin zu verändern,
daß er so lautete: was in einem allgemeinen Begriffe nicht enthalten
ist, das ist auch in den besonderen nicht enthalten, die unter
demselben stehen; denn diese sind eben darum besondere Begriffe, weil
sie mehr in sich enthalten, als im allgemeinen gedacht wird. Nun ist
doch wirklich auf diesen letzteren Grundsatz das ganze intellektuelle
System Leibnizens erbaut; es fällt also zugleich mit demselben, samt
aller aus ihm entspringenden Zweideutigkeit im Verstandesgebrauche."
220,"Der Satz des Nichtzuunterscheidenden gründete sich eigentlich auf der
Voraussetzung: daß, wenn in dem Begriffe von einem Dinge überhaupt
eine gewisse Unterscheidung nicht angetroffen wird, so sei sie auch
nicht in den Dingen selbst anzutreffen; folglich seien alle Dinge
völlig einerlei (numero eadem), die sich nicht schon in ihrem Begriffe
(der Qualität oder Quantität nach) voneinander unterscheiden. Weil
aber bei dem bloßen Begriffe von irgendeinem Dinge von manchen
notwendigen Bedingungen einer Anschauung abstrahiert worden, so wird,
durch eine sonderbare Übereilung, das, wovon abstrahiert wird, dafür
genommen, daß es überall nicht anzutreffen sei, und dem Dinge nichts
eingeräumt, als was in seinem Begriffe enthalten ist."
221,"Der Begriff von einem Kubikfuße Raum, ich mag mir diesen denken,
wo und wie oft ich wolle, ist an sich völlig einerlei. Allein zwei
Kubikfüße sind im Raume dennoch bloß durch ihre Örter unterschieden
(numero diversa); diese sind Bedingungen der Anschauung, worin das
Objekt dieses Begriffs gegeben wird, die nicht zum Begriffe, aber doch
zur ganzen Sinnlichkeit gehören. Gleichergestalt ist in dem Begriffe
von einem Dinge gar kein Widerstreit, wenn nichts Verneinendes mit
einem Bejahenden verbunden worden, und bloß bejahende Begriffe können,
in Verbindung, gar keine Aufhebung bewirken. Allein in der sinnlichen
Anschauung, darin Realität (z.B. Bewegung) gegeben wird, finden sich
Bedingungen (entgegengesetzte Richtungen), von denen im Begriffe
der Bewegung überhaupt abstrahiert war, die einen Widerstreit, der
freilich nicht logisch ist, nämlich aus lauter Positivem ein Zero = 0
möglich machen, und man konnte nicht sagen: daß darum alle Realität
untereinander Einstimmung sei, weil unter ihren Begriffen kein
Widerstreit angetroffen wird*. Nach bloßen Begriffen ist das Innere
das Substratum aller Verhältnis oder äußeren Bestimmungen. Wenn ich
also von allen Bedingungen der Anschauung abstrahiere, und mich
lediglich an den Begriff von einem Dinge überhaupt halte, so kann ich
von allem äußeren Verhältnis abstrahieren, und es muß dennoch ein
Begriff von dem übrigbleiben, das gar kein Verhältnis, sondern bloß
innere Bestimmungen bedeutet. Da scheint es nun, es folge daraus: in
jedem Dinge (Substanz) sei etwas, was schlechthin innerlich ist, und
allen äußeren Bestimmungen vorgeht, indem es sie allererst möglich
macht, mithin sei dieses Substratum so etwas, das keine äußeren
Verhältnisse mehr in sich enthält, folglich einfach: (denn die
körperlichen Dinge sind doch immer nur Verhältnisse, wenigstens
der Teile außereinander;) und weil wir keine schlechthin inneren
Bestimmungen kennen, als die durch unseren inneren Sinn, so sei dieses
Substratum nicht allein einfach, sondern auch (nach der Analogie mit
unserem inneren Sinn) durch Vorstellungen bestimmt, d.i.# alle Dinge
wären eigentlich Monaden, oder mit Vorstellungen begabte einfache
Wesen. Dieses würde auch alles seine Richtigkeit haben, gehörte
nicht etwa mehr, als der Begriff von einem Dinge überhaupt, zu den
Bedingungen, unter denen allein uns Gegenstände der äußeren Anschauung
gegeben werden können, und von denen der reine Begriff abstrahiert.
Denn da zeigt sich, daß eine beharrliche Erscheinung im Raume
(undurchdringliche Ausdehnung) lauter Verhältnisse, und gar nichts
schlechthin Innerliches enthalten, und dennoch das erste Substratum
aller äußeren Wahrnehmung sein könne. Durch bloße Begriffe kann ich
freilich ohne etwas Innerem nichts Äußeres denken, eben darum, weil
Verhältnisbegriffe doch schlechthin gegebene Dinge voraussetzen,
und ohne diese nicht möglich sind. Aber, da in der Anschauung etwas
enthalten ist, was im bloßen Begriffe von einem Dinge überhaupt gar
nicht liegt, und dieses das Substratum, welches durch bloße Begriffe
gar nicht erkannt werden würde, an die Hand gibt, nämlich, ein Raum,
der, mit allem, was er enthält, aus lauter formalen, oder auch realen
Verhältnissen besteht, so kann ich nicht sagen: weil, ohne ein
Schlechthininneres, kein Ding durch bloße Begriffe vorgestellt werden
kann, so sei auch in den Dingen selbst, die unter diesen Begriffen
enthalten sind, und ihrer Anschauung nichts Äußeres, dem nicht etwas
Schlechthininnerliches zum Grunde läge. Denn, wenn wir von allen
Bedingungen der Anschauung abstrahiert haben, so bleibt uns freilich
im bloßen Begriffe nichts übrig, als das Innere überhaupt, und das
Verhältnis desselben untereinander, wodurch allein das Äußere möglich
ist. Diese Notwendigkeit aber, die sich allein auf Abstraktion
gründet, findet nicht bei den Dingen statt, sofern sie in der
Anschauung mit solchen Bestimmungen gegeben werden, die bloße
Verhältnisse ausdrücken, ohne etwas Inneres zum Grunde zu haben,
darum, weil sie nicht Dinge an sich selbst, sondern lediglich
Erscheinungen sind. Was wir auch nur an der Materie kennen, sind
lauter Verhältnisse, (das, was wir innere Bestimmungen derselben
nennen, ist nur komparativ innerlich;) aber es sind darunter
selbständige und beharrliche, dadurch uns ein bestimmter Gegenstand
gegeben wird. Daß ich, wenn ich von diesen Verhältnissen abstrahiere,
gar nichts weiter zu denken habe, hebt den Begriff von einem Dinge,
als Erscheinung, nicht auf, auch nicht den Begriff von einem
Gegenstande in abstracto, wohl aber alle Möglichkeit eines solchen,
der nach bloßen Begriffen bestimmbar ist, d.i.# eines Noumenon.
Freilich macht es stutzig, zu hören, daß ein Ding ganz und gar aus
Verhältnissen bestehen solle, aber ein solches Ding ist auch bloße
Erscheinung, und kann gar nicht durch reine Kategorien gedacht werden;
es besteht selbst in dem bloßen Verhältnisse von Etwas überhaupt zu
den Sinnen. Ebenso kann man die Verhältnisse der Dinge in abstracto,
wenn man es mit bloßen Begriffen anfängt, wohl nicht anders denken,
als daß eines die Ursache von Bestimmungen in dem anderen sei; denn
das ist unser Verstandesbegriff von Verhältnissen selbst. Allein, da
wir alsdann von aller Anschauung abstrahieren, so fällt eine ganze
Art, wie das Mannigfaltige einander seinen Ort bestimmen kann,
nämlich die Form der Sinnlichkeit (der Raum), weg, der doch vor aller
empirischen Kausalität vorhergeht."
222,"* Wollte man sich hier der gewöhnlichen Ausflucht bedienen: daß
  wenigstens realitates Noumena einander nicht entgegenwirken
  können, so müßte man doch ein Beispiel von dergleichen reiner und
  sinnenfreier Realität anführen, damit man verstände, ob eine solche
  überhaupt etwas oder gar nichts vorstelle. Aber es kann kein
  Beispiel woher anders, als aus der Erfahrung genommen werden, die
  niemals mehr als Phänomena darbietet, und so bedeutet dieser Satz
  nichts weiter, als daß der Begriff, der lauter Bejahungen enthält,
  nichts Verneinendes enthalte; ein Satz, an dem wir niemals
  gezweifelt haben."
223,"Wenn wir unter bloß intelligiblen Gegenständen diejenigen Dinge
verstehen, die durch reine Kategorien, ohne alles Schema der
Sinnlichkeit, gedacht werden, so sind dergleichen unmöglich. Denn die
Bedingung des objektiven Gebrauchs aller unserer Verstandesbegriffe
ist bloß die Art unserer sinnlichen Anschauung, wodurch uns
Gegenstände gegeben werden, und, wenn wir von der letzteren
abstrahieren, so haben die ersteren gar keine Beziehung auf irgendein
Objekt. Ja, wenn man auch eine andere Art der Anschauung, als
diese unsere sinnliche ist, annehmen wollte, so würden doch unsere
Funktionen zu denken in Ansehung derselben von gar keiner Bedeutung
sein. Verstehen wir darunter nur Gegenstände einer nichtsinnlichen
Anschauung, von denen unsere Kategorien zwar freilich nicht gelten,
und von denen wir also gar keine Erkenntnis (weder Anschauung, noch
Begriff) jemals haben können, so müssen Noumena in dieser bloß
negativen Bedeutung allerdings zugelassen werden: da sie denn nichts
anderes sagen, als: daß unsere Art der Anschauung nicht auf alle
Dinge, sondern bloß auf Gegenstände unserer Sinne geht, folglich ihre
objektive Gültigkeit begrenzt ist, und mithin für irgendeine andere
Art Anschauung, und also auch für Dinge als Objekte derselben,
Platz übrigbleibt. Aber alsdann ist der Begriff eines Noumenon
problematisch, d.i.# die Vorstellung eines Dinges, von dem wir weder
sagen können, daß es möglich, noch daß es unmöglich sei, indem wir
gar keine Art der Anschauung, als unsere sinnliche kennen, und keine
Art der Begriffe, als die Kategorien, keine von beiden aber einem
außersinnlichen Gegenstande angemessen ist. Wir können daher das
Feld der Gegenstände unseres Denkens über die Bedingungen unserer
Sinnlichkeit darum noch nicht positiv erweitern, und außer den
Erscheinungen noch Gegenstände des reinen Denkens, d.i.# Noumena,
annehmen, weil jene keine anzugebende positive Bedeutung haben. Denn
man muß von den Kategorien eingestehen: daß sie allein noch nicht zur
Erkenntnis der Dinge an sich selbst zureichen, und ohne die data der
Sinnlichkeit bloß subjektive Formen der Verstandeseinheit, aber ohne
Gegenstand, sein würden. Das Denken ist zwar an sich kein Produkt
der Sinne, und sofern durch sie auch nicht eingeschränkt, aber darum
nicht sofort von eigenem und reinem Gebrauche, ohne Beitritt der
Sinnlichkeit, weil es alsdann ohne Objekt ist. Man kann auch das
Noumenon nicht ein solches Objekt nennen; denn dieses bedeutet eben
den problematischen Begriff von einem Gegenstande für eine ganz andere
Anschauung und einen ganz anderen Verstand, als der unsrige, der
mithin selbst ein Problem ist. Der Begriff des Noumenon ist also
nicht der Begriff von einem Objekt, sondern die unvermeidlich mit der
Einschränkung unserer Sinnlichkeit zusammenhängende Aufgabe, ob es
nicht von jener ihrer Anschauung ganz entbundene Gegenstände geben
möge, welche Frage nur unbestimmt beantwortet werden kann, nämlich:
daß, weil die sinnliche Anschauung nicht auf alle Dinge ohne
Unterschied geht, für mehr und andere Gegenstände Platz übrigbleibe,
sie also nicht schlechthin abgeleugnet, in Ermanglung eines bestimmten
Begriffs aber (da keine Kategorie dazu tauglich ist) auch nicht als
Gegenstände für unseren Verstand behauptet werden können."
224,"Der Verstand begrenzt demnach die Sinnlichkeit, ohne darum sein
eigenes Feld zu erweitern, und, indem er jene warnt, daß sie sich
nicht anmaße, auf Dinge an sich selbst zu gehen, sondern lediglich auf
Erscheinungen, so denkt er sich einen Gegenstand an sich selbst, aber
nur als transzendentales Objekt, das die Ursache der Erscheinung
(mithin selbst nicht Erscheinung) ist, und weder als Größe, noch als
Realität, noch als Substanz usw. gedacht werden kann (weil diese
Begriffe immer sinnliche Formen erfordern, in denen sie einen
Gegenstand bestimmen;) wovon also völlig unbekannt ist, ob es in
uns, oder auch außer uns anzutreffen sei, ob es mit der Sinnlichkeit
zugleich aufgehoben werden, oder wenn wir jene wegnehmen, noch
übrigbleiben würde. Wollen wir dieses Objekt Noumenon nennen, darum,
weil die Vorstellung von ihm nicht sinnlich ist, so steht dieses
uns frei. Da wir aber keine von unseren Verstandesbegriffen darauf
anwenden können, so bleibt diese Vorstellung doch für uns leer, und
dient zu nichts, als die Grenzen unserer sinnlichen Erkenntnis zu
bezeichnen, und einen Raum übrig zu lassen, den wir weder durch
mögliche Erfahrung, noch durch den reinen Verstand ausfüllen können."
225,"Die Kritik dieses reinen Verstandes erlaubt es also nicht, sich ein
neues Feld von Gegenständen, außer denen, die ihm als Erscheinungen
vorkommen können, zu schaffen, und in intelligible Welten, sogar nicht
einmal in ihren Begriff, auszuschweifen. Der Fehler, welcher hierzu
auf die allerscheinbarste Art verleitet, und allerdings entschuldigt,
obgleich nicht gerechtfertigt werden kann, liegt darin: daß der
Gebrauch des Verstandes, wider seine Bestimmung, transzendental
gemacht, und die Gegenstände, d.i.# mögliche Anschauungen, sich nach
Begriffen, nicht aber Begriffe sich nach möglichen Anschauungen (als
auf denen allein ihre objektive Gültigkeit beruht) richten müssen. Die
Ursache hiervon aber ist wiederum: daß die Apperzeption, und, mit ihr,
das Denken vor aller möglichen bestimmten Anordnung der Vorstellungen
vorhergeht. Wir denken also Etwas überhaupt, und bestimmen es
einerseits sinnlich, allein unterscheiden doch den allgemeinen und in
abstracto vorgestellten Gegenstand von dieser Art ihn anzuschauen; da
bleibt uns nun eine Art, ihn bloß durch Denken zu bestimmen, übrig,
welche zwar eine bloße logische Form ohne Inhalt ist, uns aber
dennoch eine Art zu sein scheint, wie das Objekt an sich existiere
(Noumenon), ohne auf die Anschauung zu sehen, welche auf unsere Sinne
eingeschränkt ist."
226,"Ehe wir die transzendentale Analytik verlassen, müssen wir noch
etwas hinzufügen, was, obgleich an sich von nicht sonderlicher
Erheblichkeit, dennoch zur Vollständigkeit des Systems erforderlich
scheinen dürfte. Der höchste Begriff, von dem man eine
Transzendentalphilosophie anzufangen pflegt, ist gemeiniglich die
Einteilung in das Mögliche und Unmögliche. Da aber alle Einteilung
einen eingeteilten Begriff voraussetzt, so muß noch ein höherer
angegeben werden, und dieser ist der Begriff von einem Gegenstande
überhaupt (problematisch genommen, und unausgemacht, ob er Etwas oder
Nichts sei). Weil die Kategorien die einzigen Begriffe sind, die sich
auf Gegenstände überhaupt beziehen, so wird die Unterscheidung eines
Gegenstandes, ob er Etwas, oder Nichts sei, nach der Ordnung und
Anweisung der Kategorien fortgehen."
227,"Den Begriffen von Allem, Vielem und Einem ist der, so alles
aufhebt, d.i.# Keines, entgegengesetzt und so ist der Gegenstand eines
Begriffs, dem gar keine anzugebende Anschauung korrespondiert, =
Nichts, d.i.# ein Begriff ohne Gegenstand, wie die Noumena, die nicht
unter die Möglichkeiten gezählt werden können, obgleich auch darum
nicht für unmöglich ausgegeben werden müssen, (ens rationis,) oder
wie etwa gewisse neue Grundkräfte, die man sich denkt, zwar ohne
Widerspruch, aber auch ohne Beispiel aus der Erfahrung gedacht werden,
und also nicht unter die Möglichkeiten gezählt werden müssen."
228,"Realität ist Etwas, Negation ist Nichts, nämlich, ein Begriff von
dem Mangel eines Gegenstandes, wie der Schatten, die Kälte, (nihil
privativum)."
